"Sonneberg",787
"Gotha",709
"Ilm-Kreis",602
"Hildburghausen",595
"Erfurt",506
"Schmalkalden-Meiningen",504
"Unstrut-Hainich-Kreis",489
"Weimar",462
"Saale-Orla-Kreis",453
"Greiz",451
"Saale-Holzland-Kreis",426
"Kyffhäuserkreis",424
"Wartburgkreis",421
"Gera",398
"WeimarerLand",389
"Eichsfeld",378
"AltenburgerLand",370
"Suhl",352
"Saalfeld-Rudolstadt",328
"Jena",321
"Sömmerda",262
"Nordhausen",249
